genesis 1:1	bereishit bara ’elohim; ’eit hashamayim we’eit ha’arez. 
genesis 1:2	weha’arez, hayetah tohu wawohu, weHoshekh ‘al penei tehom; weruaH ’elohim, meraHefet ‘al penei hamayim. 
genesis 1:3	wayomer ’elohim yehi ’or; wayhi ’or. 
genesis 1:4	wayar ’elohim ’et ha’or ki Tow; wayawdeil ’elohim, bein ha’or uwein haHoshekh. 
genesis 1:5	wayiqra ’elohim la’or yom, welaHoshekh qara layelah; wayhi ‘erew wayhi woqer yom ’eHad.
genesis 1:6	wayomer ’elohim, yehi raqia‘ betokh hamayim; wihi mawdil, bein mayim lamayim. 
genesis 1:7	waya‘as ’elohim ’et haraqia‘ wayawdeil, bein hamayim ’asher mitaHat laraqia‘, uwein hamayim, ’asher mei‘al laraqia‘; wayhi khein. 
genesis 1:8	wayiqra ’elohim laraqia‘ shamayim; wayhi ‘erew wayhi woqer yom sheini.
genesis 1:9	wayomer ’elohim, yiqawu hamayim mitaHat hashamayim ’el maqom ’eHad, weteira’eh hayabashah; wayhi khein. 
genesis 1:10	wayiqra ’elohim layabashah ’erez, ulemiqweih hamayim qara yamim; wayar ’elohim ki Tow. 
genesis 1:11	wayomer ’elohim, tadshei ha’arez deshe, ‘eisew macria‘ cera‘, ‘eiz peri ‘oseh peri lemino, ’asher car‘o wo ‘al ha’arez; wayhi khein. 
genesis 1:12	watozei ha’arez deshe ‘eisew macria‘ cera‘ lemineihu, we‘eiz ‘oseh peri ’asher car‘o wo lemineihu; wayar ’elohim ki Tow. 
genesis 1:13	wayhi ‘erew wayhi woqer yom shelishi.
genesis 1:14	wayomer ’elohim, yehi me’orot birqia‘ hashamayim, lehawdil bein hayom uwein halayelah; wehayu le’otot ulemo‘adim, uleyamim weshanim. 
genesis 1:15	wehayu lim’orot birqia‘ hashamayim, leha’ir ‘al ha’arez; wayhi khein. 
genesis 1:16	waya‘as ’elohim, ’et shenei hame’orot hagedolim; ’et hama’or hagadol lememshelet hayom, we’et hama’or haqaTon lememshelet halaylah, we’eit hakokhawim. 
genesis 1:17	wayitein ’otam ’elohim birqia‘ hashamayim; leha’ir ‘al ha’arez. 
genesis 1:18	welimshol bayom uwalaylah, ulahawdil, bein ha’or uwein haHoshekh; wayar ’elohim ki Tow. 
genesis 1:19	wayhi ‘erew wayhi woqer yom rewi‘i.
genesis 1:20	wayomer ’elohim, yishrezu hamayim, sherez nefesh Hayah; we‘of ye‘ofeif ‘al ha’arez, ‘al penei reqia‘ hashamayim. 
genesis 1:21	wayiwra ’elohim, ’et hataninim hagedolim; we’eit kal nefesh haHayah haromeset ’asher sharezu hamayim lemineihem, we’eit kal ‘of kanaf lemineihu, wayar ’elohim ki Tow. 
genesis 1:22	waywarekh ’otam ’elohim leimor; peru urewu, umil’u ’et hamayim bayamim, weha‘of yirew ba’arez. 
genesis 1:23	wayhi ‘erew wayhi woqer yom Hamishi.
genesis 1:24	wayomer ’elohim, tozei ha’arez nefesh Hayah leminah, beheimah waremes weHayto ’erez leminah; wayhi khein. 
genesis 1:25	waya‘as ’elohim ’et Hayat ha’arez leminah, we’et habeheimah leminah, we’eit kal remes ha’adamah lemineihu; wayar ’elohim ki Tow. 
genesis 1:26	wayomer ’elohim, na‘aseh ’adam bezalmeinu kidmuteinu; weyirdu widgat hayam uwe‘of hashamayim, uwabeheimah uwekhal ha’arez, uwekhal haremes haromeis ‘al ha’arez. 
genesis 1:27	wayiwra ’elohim ’et ha’adam bezalmo, bezelem ’elohim bara ’oto; cakhar uneqeiwah bara ’otam. 
