genesis 1:1	bereishit bara ’elohim ’et hashamayim ve’et ha’arets. 
genesis 1:2	veha’arets hayetah tohu vawohu vekhoshekh ‘al penei tehom veruakh ’elohim merakhefet ‘al penei hamayim. 
genesis 1:3	vayomer ’elohim yehi ’or vayhi ’or. 
genesis 1:4	vayar ’elohim ’et ha’or ki tow vayawdel ’elohim ben ha’or uwen hakhoshekh. 
genesis 1:5	vayiqra ’elohim la’or yom velakhoshekh qara layelah vayhi ‘erew vayhi woqer yom ’ekhad. 
genesis 1:6	vayomer ’elohim yehi raqia‘ betokh hamayim vihi mawdil ben mayim lamayim. 
genesis 1:7	vaya‘as ’elohim ’et haraqia‘ vayawdel ben hamayim ’asher mitakhat laraqia‘ uwen hamayim ’asher mei‘al laraqia‘ vayhi khen. 
genesis 1:8	vayiqra ’elohim laraqia‘ shamayim vayhi ‘erew vayhi woqer yom sheini. 
genesis 1:9	vayomer ’elohim yiqavu hamayim mitakhat hashamayim ’el maqom ’ekhad veteira’eh hayabashah vayhi khen. 
genesis 1:10	vayiqra ’elohim layabashah ’erets ulemiqveh hamayim qara yamim vayar ’elohim ki tow. 
genesis 1:11	vayomer ’elohim tadshei ha’arets deshe ‘eisew mazria‘ zera‘ ‘ets peri ‘oseh peri lemino ’asher zar‘o wo ‘al ha’arets vayhi khen. 
genesis 1:12	vatotsei ha’arets deshe ‘eisew mazria‘ zera‘ lemineihu ve‘ets ‘oseh peri ’asher zar‘o wo lemineihu vayar ’elohim ki tow. 
genesis 1:13	vayhi ‘erew vayhi woqer yom shelishi. 
genesis 1:14	vayomer ’elohim yehi me’orot birqia‘ hashamayim lehawdil ben hayom uwen halayelah vehayu le’otot ulemo‘adim uleyamim veshanim. 
genesis 1:15	vehayu lim’orot birqia‘ hashamayim leha’ir ‘al ha’arets vayhi khen. 
genesis 1:16	vaya‘as ’elohim ’et shenei hame’orot hagedolim ’et hama’or hagadol lememshelet hayom ve’et hama’or haqaton lememshelet halaylah ve’et hakokhawim. 
genesis 1:17	vayiten ’otam ’elohim birqia‘ hashamayim leha’ir ‘al ha’arets. 
genesis 1:18	velimshol bayom uwalaylah ulahawdil ben ha’or uwen hakhoshekh vayar ’elohim ki tow. 
genesis 1:19	vayhi ‘erew vayhi woqer yom rewi‘i. 
genesis 1:20	vayomer ’elohim yishretsu hamayim sherets nefesh khayah ve‘of ye‘ofef ‘al ha’arets ‘al penei reqia‘ hashamayim. 
genesis 1:21	vayiwra ’elohim ’et hataninim hagedolim ve’et kal nefesh hakhayah haromeset ’asher sharetsu hamayim lemineihem ve’et kal ‘of kanaf lemineihu vayar ’elohim ki tow. 
genesis 1:22	vaywarekh ’otam ’elohim leimor peru urewu umil’u ’et hamayim bayamim veha‘of yirew ba’arets. 
genesis 1:23	vayhi ‘erew vayhi woqer yom khamishi. 
genesis 1:24	vayomer ’elohim totsei ha’arets nefesh khayah leminah beheimah varemes vekhayto ’erets leminah vayhi khen. 
genesis 1:25	vaya‘as ’elohim ’et khayat ha’arets leminah ve’et habeheimah leminah ve’et kal remes ha’adamah lemineihu vayar ’elohim ki tow. 
genesis 1:26	vayomer ’elohim na‘aseh ’adam betsalmeinu kidmuteinu veyirdu widgat hayam uwe‘of hashamayim uwabeheimah uwekhal ha’arets uwekhal haremes haromes ‘al ha’arets. 
genesis 1:27	vayiwra ’elohim ’et ha’adam betsalmo betselem ’elohim bara ’oto zakhar uneqeiwah bara ’otam. 
genesis 1:28	vaywarekh ’otam ’elohim vayomer lahem ’elohim peru urewu umil’u ’et ha’arets vekhiwshuha uredu bidgat hayam uwe‘of hashamayim uwekhal khayah haromeset ‘al ha’arets. 
genesis 1:29	vayomer ’elohim hineh natati lakhem ’et kal ‘eisew zoreia‘ zera‘ ’asher ‘al penei khal ha’arets ve’et kal ha‘ets ’asher bo feri ‘ets zoreia‘ zara‘ lakhem yihyeh le’akhlah 
genesis 1:30	ulekhal khayat ha’arets ulekhal ‘of hashamayim ulekhol romes ‘al ha’arets ’asher bo nefesh khayah ’et kal yereq ‘eisew le’akhlah vayhi khen. 
genesis 1:31	vayar ’elohim ’et kal ’asher ‘asah vehineh tow me’od vayhi ‘erew vayhi woqer yom hashishi. 
genesis 2:1	vaykhulu hashamayim veha’arets vekhal tsewa’am. 
genesis 2:2	vaykhal ’elohim bayom hashewi‘i melakhto ’asher ‘asah vayishbot bayom hashewi‘i mikal melakhto ’asher ‘asah. 
genesis 2:3	vaywarekh ’elohim ’et yom hashewi‘i vayqadesh ’oto ki wo shawat mikal melakhto ’asher bara ’elohim la‘asot. 
genesis 2:4	’eleh toldot hashamayim veha’arets behibare’am beyom ‘asot yhoh ’elohim ’erets veshamayim. 
genesis 2:5	vekhol siakh hasadeh terem yihyeh wa’arets vekhal ‘eisew hasadeh terem yitsmakh ki lo himtir yhoh ’elohim ‘al ha’arets ve’adam ’ayin la‘awod ’et ha’adamah. 
